x,y,z,eps_e,layer
0.762528,0.723464,0.759814,0.195709,top
0.76724,0.751592,0.628981,0.113151,top
0.768539,0.75848,0.663791,0.128717,top
0.769087,0.760142,0.7,0.109671,top
0.768539,0.75848,0.736208,0.128716,top
0.76724,0.751593,0.771019,0.113151,top
0.776002,0.791805,0.624547,0.0242153,top
0.777292,0.796707,0.661328,0.0487185,top
0.777624,0.798775,0.7,0.0807341,top
0.777292,0.796707,0.738671,0.0487192,top
0.776002,0.791806,0.775453,0.0242154,top
0.776276,0.666525,0.64649,0.0709432,bot
0.777259,0.668492,0.673472,0.099769,bot
0.777871,0.670021,0.7,0.0712767,bot
0.777259,0.668492,0.726527,0.0997692,bot
0.776277,0.666525,0.75351,0.0709436,bot
0.7856,0.692258,0.645408,0.104752,bot
0.786557,0.695592,0.672272,0.0675696,bot
0.786943,0.696803,0.7,0.0770383,bot
0.786557,0.695592,0.727728,0.0675697,bot
0.7856,0.692258,0.754592,0.104751,bot
0.793504,0.716195,0.64069,0.165864,top
0.794334,0.720948,0.66923,0.202886,top
0.794624,0.721907,0.7,0.218745,top
0.794334,0.720947,0.73077,0.202886,top
0.793504,0.716195,0.75931,0.165864,top
0.800657,0.744501,0.629656,0.115086,top
0.802014,0.750239,0.664062,0.117348,top
0.802655,0.751672,0.7,0.0916625,top
0.802014,0.750239,0.735937,0.117348,top
0.800657,0.744501,0.770344,0.115087,top
0.81291,0.78227,0.624488,0.0916761,top
0.814972,0.785992,0.660989,0.0494735,top
0.815875,0.788415,0.7,0.0883931,top
0.814972,0.785992,0.739012,0.0494737,top
0.81291,0.78227,0.775512,0.0916771,top
0.80003,0.656771,0.646334,0.0500603,bot
0.801142,0.658761,0.673333,0.0898171,bot
0.801856,0.660325,0.7,0.0690778,bot
0.801142,0.658761,0.726667,0.0898168,bot
0.80003,0.656771,0.753666,0.0500606,bot
0.811583,0.681593,0.644869,0.0861729,bot
0.813073,0.684811,0.672091,0.0509315,bot
0.813669,0.68605,0.7,0.0505385,bot
0.813073,0.684811,0.727908,0.0509314,bot
0.811583,0.681593,0.755131,0.0861734,bot
0.822365,0.705352,0.640688,0.128283,top
0.824127,0.710087,0.66944,0.163517,top
0.824593,0.711151,0.7,0.180822,top
0.824127,0.710087,0.73056,0.163517,top
0.822365,0.705352,0.759311,0.128284,top
0.83373,0.733961,0.630971,0.126512,top
0.835682,0.739561,0.664614,0.126847,top
0.836301,0.741068,0.7,0.0853179,top
0.835681,0.739561,0.735386,0.126846,top
0.83373,0.733961,0.769029,0.126511,top
0.848191,0.767807,0.623366,0.0449309,top
0.85036,0.772168,0.660855,0.0443313,top
0.851115,0.773967,0.7,0.0600247,top
0.85036,0.772168,0.739145,0.0443309,top
0.848191,0.767807,0.776634,0.0449325,top
0.824025,0.645259,0.645934,0.0537415,bot
0.824811,0.646917,0.673137,0.075649,bot
0.825446,0.648281,0.7,0.0618485,bot
0.824811,0.646917,0.726863,0.0756494,bot
0.824025,0.645259,0.754066,0.0537422,bot
0.836431,0.6685,0.64417,0.117173,bot
0.837882,0.671002,0.671679,0.0633342,bot
0.838612,0.672256,0.7,0.0740721,bot
0.837882,0.671002,0.728321,0.0633352,bot
0.836431,0.6685,0.75583,0.117172,bot
0.849122,0.690947,0.63972,0.156592,bot
0.851609,0.695144,0.669158,0.179098,bot
0.852296,0.696379,0.7,0.194895,bot
0.851609,0.695144,0.730842,0.179098,bot
0.849122,0.690947,0.76028,0.15659,bot
0.864476,0.718821,0.630994,0.112659,top
0.867535,0.72425,0.664828,0.121352,top
0.868401,0.726033,0.7,0.0832005,top
0.867535,0.72425,0.735172,0.121353,top
0.864476,0.718821,0.769006,0.11266,top
0.882589,0.750892,0.623996,0.0322671,top
0.884833,0.755522,0.661073,0.0407588,top
0.885763,0.756855,0.7,0.0846754,top
0.884833,0.755522,0.738927,0.0407592,top
0.882589,0.750892,0.776004,0.0322667,top
0.847188,0.632844,0.646422,0.0619122,bot
0.847966,0.634399,0.673337,0.0689794,bot
0.848608,0.635584,0.7,0.0535862,bot
0.847966,0.634399,0.726663,0.068979,bot
0.847188,0.632844,0.753578,0.0619122,bot
0.861168,0.654616,0.644668,0.176036,bot
0.862406,0.656821,0.671816,0.119612,bot
0.863082,0.657943,0.7,0.123034,bot
0.862406,0.656821,0.728184,0.119613,bot
0.861168,0.654616,0.755332,0.176035,bot
0.875242,0.674572,0.639279,0.168405,bot
0.877526,0.678264,0.668829,0.156335,bot
0.878221,0.679538,0.7,0.169422,bot
0.877526,0.678264,0.731171,0.156334,bot
0.875242,0.674572,0.760721,0.168406,bot
0.89308,0.699394,0.629121,0.111128,bot
0.896582,0.704608,0.664005,0.119367,top
0.897597,0.706513,0.7,0.108663,top
0.896582,0.704608,0.735995,0.119366,top
0.89308,0.699394,0.770879,0.111129,bot
0.914781,0.730133,0.623897,0.0364567,top
0.917519,0.73445,0.660956,0.0339485,top
0.918589,0.736155,0.7,0.0635049,top
0.917519,0.73445,0.739044,0.0339481,top
0.914781,0.730132,0.776102,0.0364582,top
0.867433,0.616378,0.646526,0.133172,bot
0.868884,0.618061,0.673482,0.153017,bot
0.869703,0.619221,0.7,0.148271,bot
